Site,Period,Date growth start,Date growth end,Time to include (incl.)
EPF,1,6/02/2020,14/02/2021,Feb 2020 - Feb 2021
EPF,2,15/02/2021,16/02/2022,March 2021 - March 2022
EPF,3,17/02/2022,21/02/2023,March 2022 - March 2023
TMP,1,29/01/2020,15/02/2021,Feb 2020 - March 2021
TMP,2,16/02/2021,13/02/2022,March 2021 - Feb 2022
TMP,3,14/02/2022,19/02/2023,Feb 2022 - March 2023
MER,1,31/01/2020,13/02/2021,Feb 2020 - Feb 2021
MER,2,14/02/2021,18/02/2022,Feb 2021 - March 2022
MER,3,19/02/2022,23/02/2023,March 2022 - March 2023
DOG,1,30/01/2020,13/02/2021,Feb 2020 - Feb 2021
DOG,2,14/02/2021,18/02/2022,Feb 2021 - March 2022
DOG,3,19/02/2022,23/02/2023,March 2022 - March 2023
GRA,1,7/02/2020,9/02/2021,Feb 2020 - Feb 2021
GRA,2,10/02/2021,13/02/2022,Feb 2021 - Feb 2022
GRA,3,14/02/2022,20/02/2023,Feb 2022 - March 2023
FREY,1,5/02/2020,16/02/2021,Feb 2020 - March 2021
FREY,2,17/02/2021,23/02/2022,March 2021 - March 2022
FREY,3,24/02/2022,22/02/2023,March 2022 - March 2023
BOF,1,5/06/2020,11/02/2021,June 2020 - Feb 2021
BOF,2,12/02/2021,24/02/2022,Feb 2021 - March 2022
BOF,3,25/02/2022,22/02/2023,March 2022 - March 2023
